id,name,type,x,y,description,visible
NORTH_GATE,Cổng Bắc,gate,335,35,Cổng Bắc trên đường Đại Cồ Việt,1
WEST_GATE,Cổng Parabol,gate,112,351,Cổng Parabol phía đường Giải Phóng,1
B8_GATE,Cổng B8,gate,683,352,Cổng B8 phía đường Trần Đại Nghĩa,1
C1,C1,building,337,110,Nhà C1,1
C2,C2,building,275,185,Nhà C2,1
C3,C3,building,515,160,Nhà C3,1
C4,C4,building,515,213,Nhà C4,1
C5,C5,building,515,267,Nhà C5,1
C6,C6,building,550,200,Nhà C6,1
C7,C7,building,550,250,Nhà C7,1
C8,C8,building,550,305,Nhà C8,1
C9,C9,building,245,270,Nhà C9,1
C10,C10,building,475,305,Nhà C10,1
CFC,CFC,building,545,150,Nhà CFC,1
HT,HT,building,485,88,Hội trường,1
ITIMS,ITIMS,building,393,315,Viện ITIMS,1
TQB_LIBRARY,Thư viện Tạ Quang Bửu,library,470,365,Thư viện Tạ Quang Bửu,1
TIEN_LAKE,Hồ Tiền,lake,415,490,Hồ Tiền,1
D1,D1,building,378,365,Nhà D1,1
D2,D2,building,220,422,Nhà D2,1
D3,D3,building,584,363,Nhà D3,1
D4,D4,building,220,470,Nhà D4,1
D5,D5,building,584,420,Nhà D5,1
D6,D6,building,325,468,Nhà D6,1
D7_ITP,D7-ITP,building,570,470,Nhà D7-ITP,1
D8,D8,building,325,502,Nhà D8,1
D9,D9,building,470,505,Nhà D9,1
B1,B1,building,800,405,Nhà B1,1
B5,B5,building,800,162,Nhà B5,1
B6,B6,building,765,163,Nhà B6,1
B7,B7,building,765,217,Nhà B7,1
B7BIS,B7bis,building,765,265,Nhà B7bis,1
B8,B8,building,755,317,Nhà B8,1
B9,B9,building,800,215,Nhà B9,1
PC,PC,building,300,365,PC,1
VDZ,VDZ,building,340,365,VDZ,1
D68,D68,building,325,485,điểm ẩn,0

